l (deg),b (deg),distance (pc)
153.4728958854486,-47.49078863559045,406.9815133365803
127.34662766882072,-40.841575472467106,5322.063268039107
,,
,,
,,
149.8953185810774,-51.397768662566754,508.15065000856004
,,
129.72083061268845,-47.83112598374239,2900.885791441493
145.5257771389288,-58.62035745856208,769.1588112878707
131.9105753307113,-53.28950940397476,2222.868173046041
,,
143.09986279886292,-57.85055738936881,856.5335113787105
130.3473163174063,-53.93398611090004,3212.17834513169
178.92420745084652,-57.59873184811721,305.9039529325375
175.5720263984518,-64.74980689405676,412.819394233867
143.29192838827927,-48.95915021211153,651.9116926638235
152.29787115117057,-55.82175939401954,524.6975855388233
132.9170295625604,-45.232415492081294,1450.6709393687931
142.90232551557557,-58.99602914918306,903.4880620734004
127.28306270620651,-34.46942128052459,4232.100680563831
139.6945871768551,-46.62931715540722,772.9258881182336
,,
,,
182.6303563543416,-59.829419116203674,313.66467550205505
130.96364255813072,-41.3902897980452,1791.9228710484135
,,
146.23610823271036,-46.86821458487698,533.8938993890656
130.63383795037927,-39.39812722220658,1811.7666216633622
132.12639504606426,-42.469768040822075,1514.9980960821883
136.6736883710701,-49.307197353024186,1057.775069199173
148.3429772977212,-58.06158365494313,659.5533743578567
135.02873872298514,-51.64122809513908,1342.9454116802797
142.1335164282982,-48.99332605376152,697.9668583408109
143.23973535999676,-55.15676884436738,776.8122034577316
136.80950631478564,-49.830864835246025,1059.9548536810803
157.24038289363713,-48.535700676504376,370.91186194688106
130.9842231439874,-37.89424512018961,1637.3482358986387
,,
127.37287128065763,-36.38801411713591,4348.226938036823
141.90806840208103,-45.643499373927646,653.8801771486484
126.44729690748814,-40.251704246706325,10210.22822676741
,,
,,
,,
,,
187.9672106367106,-58.33290888137493,283.2715991878883
238.8064681864378,-44.11060267990321,200.13707817817536
131.98812283777616,-41.478458542825244,1509.7348220612037
139.1355478366914,-44.648507114603376,768.9793112621902
127.78678569215475,-47.828129959470985,6057.567612816117
125.79679910754254,-37.385128617062435,21014.494555207977
133.48153347840065,-40.59942098561564,1201.5611376597667
,,
,,
,,
,,
143.1398923650431,-45.71034683012771,609.6779657741382
141.728946047237,-51.59177561692431,766.2523796960756
132.835897688705,-55.28966059990899,2060.2798800932032
,,
142.67437949549327,-52.70095663925942,746.1475093912464
,,
129.38960052354568,-50.4228270085414,3570.1880218392175
128.6711261194954,-35.8602025831894,2630.004861990694
131.92107317931163,-42.12207188401066,1550.589166451668
172.73936242511232,-64.27953585008224,423.6704102810417
,,
,,
135.93836386362082,-44.71015434043448,1008.0021655483448
,,
150.76132534166206,-58.752025772982115,610.6210281616237
130.84758832296777,-50.54494808505266,2460.9186337905344
144.84448000042786,-56.954405495534075,752.9257866342438
143.4486602594991,-49.92913963702253,662.1643903501403
129.28364571796254,-51.23270951801752,3842.905612619876
,,
130.84825537481817,-49.35703485108822,2351.9218336167373
129.58705265766812,-36.531034912919644,2105.734360286223
134.06884147647128,-52.69996772192416,1562.9953182593933
,,
